CustomerKey|CustomerName|Gender|birthdate|MaritialStatus|EducationLevel|Occupation|AnnualIncome|Totalchildren
11000|JON YANG|Male|1966-04-08|M|Bachelors|Professional|90000.0|2
11001|EUGENE HUANG|Male|1965-05-14|S|Bachelors|Professional|60000.0|3
11002|RUBEN TORRES|Male|1965-08-12|M|Bachelors|Professional|60000.0|3
11003|CHRISTY ZHU|Female|1968-02-15|S|Bachelors|Professional|70000.0|0
11004|ELIZABETH JOHNSON|Female|1968-08-08|S|Bachelors|Professional|80000.0|5
11005|JULIO RUIZ|Male|1965-08-05|S|Bachelors|Professional|70000.0|0
11007|MARCO MEHTA|Male|1964-05-09|M|Bachelors|Professional|60000.0|3
11008|ROBIN VERHOFF|Female|1964-07-07|S|Bachelors|Professional|60000.0|4
11009|SHANNON CARLSON|Male|1964-04-01|S|Bachelors|Professional|70000.0|0
11010|JACQUELYN SUAREZ|Female|1964-02-06|S|Bachelors|Professional|70000.0|0
11011|CURTIS LU|Male|1963-11-04|M|Bachelors|Professional|60000.0|4
11012|LAUREN WALKER|Female|1968-01-18|M|Bachelors|Management|100000.0|2
11013|IAN JENKINS|Male|1968-08-06|M|Bachelors|Management|100000.0|2
11014|SYDNEY BENNETT|Female|1968-05-09|S|Bachelors|Management|100000.0|3
11015|CHLOE YOUNG|Female|1979-02-27|S|Partial College|Skilled Manual|30000.0|0
11016|WYATT HILL|Male|1979-04-28|M|Partial College|Skilled Manual|30000.0|0
11017|SHANNON WANG|Female|1944-06-26|S|High School|Skilled Manual|20000.0|4
11018|CLARENCE RAI|Male|1944-10-09|S|Partial College|Clerical|30000.0|2
11019|LUKE LAL|Male|1978-03-07|S|High School|Skilled Manual|40000.0|0
11020|JORDAN KING|Male|1978-09-20|S|High School|Skilled Manual|40000.0|0
11021|DESTINY WILSON|Female|1978-09-03|S|Partial College|Skilled Manual|40000.0|0
11022|ETHAN ZHANG|Male|1978-10-12|M|Partial College|Skilled Manual|40000.0|0
11023|SETH EDWARDS|Male|1978-10-11|M|Partial College|Skilled Manual|40000.0|0
11024|RUSSELL XIE|Male|1978-09-17|M|Partial College|Skilled Manual|60000.0|0
11025|ALEJANDRO BECK|Unknown|1945-12-23|M|Partial High School|Clerical|10000.0|2
11026|HAROLD SAI|Male|1946-04-03|S|Partial College|Clerical|30000.0|2
11027|JESSIE ZHAO|Male|1946-12-07|M|Partial College|Clerical|30000.0|2
11028|JILL JIMENEZ|Female|1946-04-11|M|Partial College|Clerical|30000.0|2
11029|JIMMY MORENO|Male|1946-12-21|M|Partial College|Clerical|30000.0|2
11030|BETHANY YUAN|Female|1947-02-22|M|Partial High School|Clerical|10000.0|2
11031|THERESA RAMOS|Female|1947-08-22|M|High School|Skilled Manual|20000.0|4
11032|DENISE STONE|Female|1947-06-11|M|High School|Skilled Manual|20000.0|4
11033|JAIME NATH|Male|1947-09-23|M|High School|Skilled Manual|20000.0|4
11034|EBONY GONZALEZ|Female|1947-06-19|M|High School|Skilled Manual|20000.0|4
11035|WENDY DOMINGUEZ|Unknown|1948-02-24|M|Partial High School|Clerical|10000.0|2
11036|JENNIFER RUSSELL|Female|1978-12-18|M|Partial College|Skilled Manual|60000.0|0
11037|CHLOE GARCIA|Female|1977-11-27|S|Partial High School|Clerical|40000.0|0
11038|DIANA HERNANDEZ|Female|1948-03-23|M|Partial High School|Clerical|10000.0|2
11039|MARC MARTIN|Male|1948-12-17|M|Partial College|Clerical|30000.0|3
11040|JESSE MURPHY|Male|1977-08-01|M|Partial College|Skilled Manual|30000.0|0
11041|AMANDA CARTER|Female|1977-10-16|M|Partial College|Skilled Manual|60000.0|0
11042|MEGAN SANCHEZ|Female|1977-06-13|M|Partial College|Skilled Manual|70000.0|0
11043|NATHAN SIMMONS|Male|1976-02-24|M|Partial College|Skilled Manual|60000.0|0
11044|ADAM FLORES|Male|1949-05-24|M|Partial High School|Clerical|20000.0|2
11045|LEONARD NARA|Male|1950-05-19|S|High School|Skilled Manual|30000.0|3
11046|CHRISTINE YUAN|Female|1950-03-22|M|High School|Skilled Manual|30000.0|3
11047|JACLYN LU|Female|1950-02-27|M|High School|Skilled Manual|30000.0|3
11048|JEREMY POWELL|Male|1950-11-22|M|High School|Skilled Manual|30000.0|3
11049|CAROL RAI|Female|1980-07-18|S|Partial High School|Clerical|40000.0|0
11050|ALAN ZHENG|Male|1951-09-07|M|High School|Skilled Manual|30000.0|3
11051|DANIEL JOHNSON|Male|1951-08-04|S|High School|Skilled Manual|30000.0|3
11052|HEIDI LOPEZ|Female|1951-08-07|S|Partial College|Clerical|40000.0|2
11053|ANA PRICE|Female|1980-08-20|M|Partial College|Skilled Manual|60000.0|0
11054|DEANNA MUNOZ|Female|1952-03-10|M|Partial College|Skilled Manual|40000.0|2
11055|GILBERT RAJE|Male|1952-03-05|M|Partial College|Skilled Manual|40000.0|2
11056|MICHELE NATH|Female|1953-04-03|M|Partial College|Skilled Manual|40000.0|3
11057|CARL ANDERSEN|Male|1953-10-12|M|Graduate Degree|Management|70000.0|2
11058|MARC DIAZ|Male|1954-04-27|M|Partial College|Skilled Manual|80000.0|2
11059|ASHLEE ANDERSEN|Female|1954-04-01|S|Partial College|Skilled Manual|80000.0|2
11060|JON ZHOU|Male|1954-03-17|M|Partial College|Skilled Manual|80000.0|2
11061|TODD GAO|Male|1954-02-27|M|Partial College|Skilled Manual|80000.0|2
11062|NOAH POWELL|Male|1975-09-02|M|High School|Skilled Manual|40000.0|0
11063|ANGELA MURPHY|Female|1975-04-07|S|High School|Skilled Manual|40000.0|0
11064|CHASE REED|Male|1975-12-07|M|High School|Skilled Manual|40000.0|0
11065|JESSICA HENDERSON|Female|1973-10-09|M|Partial College|Skilled Manual|60000.0|0
11066|GRACE BUTLER|Female|1973-11-27|M|Partial College|Professional|70000.0|0
11067|CALEB CARTER|Male|1976-09-25|S|Partial College|Professional|60000.0|0
11068|TIFFANY LIANG|Female|1955-09-23|S|High School|Skilled Manual|80000.0|2
